	mock1_1	mock2_1	salt_1h_1	salt_2h_1	heat_1h_1	heat_2h_1	mock1_2	mock2_2	salt_1h_2	salt_2h_2	heat_1h_2	heat_2h_2
ENSG00000261667	0	0	0	0	0	0.0559	0	0	0	0.0322	0	0.0326
ENSG00000176956	0	0	0	0	0	0.0147	0	0	0	0	0	0.0343
ENSG00000182851	0	0	0	0	0.0121	0	0	0	0	0	0	0
ENSG00000181638	0.7122	0.9761	0.271	0.151	0.6243	0.4076	1.1889	1.0251	0.3685	0.2623	0.6842	0.3826
ENSG00000250571	0.9488	1.3162	0.7313	0.2275	1.0403	0.5962	2.6629	1.7816	0.8169	0.6554	1.2718	0.5695
ENSG00000185730	0.8611	0.7946	0.4249	0.2986	0.3102	0.3235	0.6887	0.8239	0.5492	0.4201	0.3644	0.2973
ENSG00000184428	0.5617	0.5553	0.3384	0.228	0.4036	0.2572	0.5681	0.5865	0.2357	0.3308	0.5167	0.2002
ENSG00000158106	0	0.0047	0.0067	0	0.053	0.0066	0.0179	0.0075	0.0117	0.0152	0.0522	0.0386
ENSG00000182759	0	0	0.067	0.0309	0.0773	0.2757	0	0.0126	0.0782	0.1778	0.0248	0.1159
ENSG00000014164	1.5461	1.9954	0.779	0.2797	1.0006	0.5625	2.0417	1.7551	0.8531	0.6649	1.1421	0.4925
ENSG00000104518	0.5287	0.5813	0.213	0.0982	0.3946	0.1619	1.2554	0.6277	0.2201	0.1492	0.3648	0.0882
ENSG00000204839	0.0813	0.097	0.4248	0.3068	0.527	0.5952	0.1355	0.1428	0.4666	0.7431	0.4586	0.256
ENSG00000147813	0.4234	0.6313	0.7987	0.3765	0.7814	0.6278	0.8974	0.4703	0.7793	1.1259	0.6162	0.377
ENSG00000104529	4.7238	5.6432	3.1278	2.5969	4.6559	3.1144	5.6469	4.7373	2.8004	3.3733	3.6203	2.3279
ENSG00000179886	0.6351	0.8946	0.2896	0.2083	0.1032	0.1832	1.4862	0.7309	0.2233	0.1978	0.3353	0.0936
ENSG00000271912	1.0869	1.1983	0.5225	0.5077	0.3912	0.4186	1.0944	1.3681	0.3959	0.3214	0.5186	0.3095
ENSG00000104524	0.6028	0.7011	0.2498	0.143	0.4262	0.3575	0.9669	0.6696	0.2415	0.1863	0.3643	0.159
ENSG00000104522	1.5027	1.6422	0.6172	0.5015	1.1299	0.8082	2	1.6601	0.4326	0.4302	1.0047	0.5697
ENSG00000183309	6.3769	6.4855	1.7925	1.5515	3.6879	2.1855	6.7548	6.9661	1.5818	1.4162	3.868	1.949
ENSG00000181135	0.8859	0.8785	0.2959	0.2199	0.5375	0.3491	1.192	1.0099	0.178	0.186	0.4817	0.2445
ENSG00000255181	0	0	0	0	0	0	0	0	0	0.0241	0	0
ENSG00000181085	0.0107	0.0254	0.0457	0.0506	0.0724	0.0994	0.0244	0.0412	0.1442	0.0416	0.112	0.0949
ENSG00000180921	0.196	0.2957	0.1236	0.1094	0.1907	0.1172	0.4359	0.3007	0.1299	0.2306	0.242	0.1197
ENSG00000203499	0.0872	0.0277	0.0299	0.062	0.0247	0.1034	0.04	0.0618	0.0349	0.0851	0.0277	0.115
ENSG00000254973	0	0	0	0.0427	0	0.0305	0	0.0174	0.0271	0.4043	0	0
ENSG00000180900	0.9369	1.1741	1.0154	0.8675	1.4514	1.2666	1.8574	1.0575	1.2574	1.6744	1.1302	0.6508
ENSG00000179950	2.9984	3.2613	1.3808	1.1614	2.3911	2.0721	3.8415	2.9949	1.2368	1.6828	1.8349	1.2007
ENSG00000185189	2.3836	2.8788	1.0927	0.9552	2.3473	1.6952	3.4799	2.8765	1.369	1.5657	2.3692	1.4565
ENSG00000227184	0.1997	0.2285	0.3494	0.2271	0.2455	0.6319	0.3269	0.1929	0.5817	0.4375	0.2645	0.4515
ENSG00000178209	12.8159	16.4858	7.9269	4.7894	11.1994	6.1424	27.4369	16.9058	8.8739	9.3845	13.2997	4.4435
ENSG00000178685	0.0594	0.1321	0.088	0.032	0.0688	0.0687	0.2971	0.1357	0.0812	0.1107	0.098	0.0748
ENSG00000178719	4.8623	6.1385	3.2844	2.4163	4.7601	2.6774	9.1616	7.5372	2.4222	2.9827	5.3909	2.2837
ENSG00000186583	0	0	0	0	0.0283	0	0	0	0	0	0	0
ENSG00000178814	0.1659	0.1889	0.097	0.0805	0.3776	0.3004	0.7086	0.306	0.204	0.1546	0.2879	0.2238
ENSG00000178896	0.7644	0.9118	0.2781	0.2197	0.5896	0.5103	1.1147	0.8726	0.3132	0.226	0.6411	0.275
ENSG00000197858	1.4456	2.1585	0.9916	0.6029	2.1824	1.3685	3.0156	2.3305	0.9137	0.9826	1.7316	0.8186
ENSG00000179091	2.1948	2.8444	1.2027	1.1545	2.0162	1.8457	3.252	2.7098	1.0661	0.7729	1.4803	0.6856
ENSG00000179526	1.6044	1.809	0.7431	0.6249	1.0036	0.5358	2.5493	1.595	0.5982	0.7314	0.9723	0.3823
ENSG00000179632	2.4269	2.8377	1.6929	1.5608	2.4779	1.6265	3.5503	3.364	2.0395	1.94	2.2113	1.4106
ENSG00000179698	0.0254	0.0369	0.321	0.2155	0.2714	0.4281	0.0333	0.0527	0.3222	0.4504	0.1838	0.2625
ENSG00000235173	0.4864	0.7737	0.1688	0.0549	0.6093	0.4024	0.2389	0.3356	0.087	0.1808	0.3095	0.1146
ENSG00000179832	0.3587	0.6311	0.2666	0.1879	0.4286	0.3115	0.5754	0.6237	0.3503	0.2684	0.425	0.1892
ENSG00000204775	0.149	0.1678	0	0	0.0281	0	0	0.016	0	0	0.0474	0.0164
ENSG00000187786	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230567	0.9916	0.7573	0.5599	0.4732	1.1902	0.9529	1.6904	1.4135	0.5633	0.5428	1.3964	0.7297
ENSG00000170727	0.8967	0.9425	0.5481	0.2632	0.7457	0.4137	1.1189	1.0205	0.5336	0.2772	0.5422	0.3162
ENSG00000188686	0	0.1167	0.0559	0	0	0.0276	0.0748	0	0.2451	0.0637	0.0311	0.0645
ENSG00000185122	1.5056	1.9999	0.9415	0.7562	1.3946	0.8078	2.5311	1.7592	1.0372	1.1805	1.2549	0.4943
ENSG00000185000	0.6182	0.986	0.5531	0.3665	0.7298	0.5694	1.2627	1.0256	0.5048	0.4984	0.6926	0.5052
ENSG00000170616	0	0	0	0	0	0.0219	0	0	0	0.0084	0	0
ENSG00000214597	0.0583	0.087	0.0375	0.0692	0.0742	0.1483	0.0334	0.0141	0.0219	0.0427	0.1392	0.0288
ENSG00000271698	0.1429	0.0974	0.035	0.0242	0.052	0.1903	0.0468	0.0789	0.0614	0.0399	0.1364	0.0404
ENSG00000185803	1.5705	1.8269	0.7449	0.5019	1.238	0.604	2.68	1.8183	0.6359	0.75	1.3712	0.3636
ENSG00000182325	0.7339	0.8812	0.1987	0.1603	0.5817	0.3764	1.2392	0.9514	0.2467	0.1885	0.4147	0.086
ENSG00000173137	0.5824	0.6947	0.3873	0.1268	0.4236	0.2719	1.0622	0.8267	0.25	0.2204	0.5445	0.2352
ENSG00000071894	1.9568	2.5829	1.5036	0.9636	2.1955	1.2593	3.5773	2.639	1.703	1.5651	1.9694	0.8039
ENSG00000147804	0.0712	0.0927	0.0777	0.1229	0.4176	0.2963	0.1632	0.0813	0.1946	0.1832	0.2966	0.2883
ENSG00000160948	1.1858	1.3417	0.613	0.4032	1.4573	1.0417	2.6572	1.5749	0.6419	0.6211	1.1898	0.5175
ENSG00000160949	0.8703	1.1287	0.5212	0.2457	0.7696	0.5774	1.34	0.9474	0.6365	0.4313	0.8173	0.246
ENSG00000187954	1.0556	1.3526	0.4854	0.3238	0.9041	0.5135	1.6025	1.425	0.4253	0.4257	1.036	0.4414
ENSG00000167702	0.5423	0.5639	0.377	0.2955	0.5783	0.4161	0.8901	0.6301	0.4294	0.5006	0.6364	0.406
ENSG00000160973	0	0	0.0335	0	0.0221	0.0772	0.0298	0.0126	0	0.1271	0.0249	0.0515
ENSG00000160972	0.3311	0.3016	0.1032	0.0999	0.235	0.1479	0.5104	0.4419	0.199	0.1821	0.2126	0.0893
ENSG00000167701	0.0237	0	0.0304	0.014	0.1003	0.0701	0.0542	0	0.0533	0.0462	0.0903	0.0468
ENSG00000167700	0.3933	0.5012	0.2146	0.106	0.4399	0.3333	1.0651	0.449	0	0.2093	0.3583	0.1769
ENSG00000160957	1.1143	1.343	0.593	0.3554	1.2389	0.8009	1.6553	1.2322	0.6466	0.4874	0.946	0.5473
ENSG00000160959	1.5097	1.8389	0.4284	0.3782	1.3125	0.7792	1.9612	1.751	0.5671	0.4046	1.1921	0.4365
ENSG00000254402	0.0184	0.0329	0	0	0.1092	0	0.1264	0.0355	0.0276	0.0179	0.0527	0.0182
ENSG00000213563	0.4235	0.4275	0.1862	0.1674	0.4239	0.2208	0.5973	0.514	0.1795	0.1378	0.4249	0.1182
ENSG00000147799	0.2666	0.1513	0.1784	0.1079	0.2262	0.1267	0.3576	0.3203	0.2443	0.1142	0.3041	0.1415
ENSG00000254533	0.057	0.068	0	0	0	0.2414	0	0.055	0.0856	0.2224	0.0544	0
ENSG00000263612	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198169	2.115	2.3219	1.5585	1.5204	1.9123	1.9321	2.3778	2.4452	1.8074	2.0897	2.1698	1.4646
ENSG00000196378	1.4081	1.216	2.4273	2.2784	1.7672	3.2313	1.2772	1.1618	2.1817	2.4618	1.8476	3.076
ENSG00000161016	18.2958	18.088	14.5355	12.5656	21.1333	13.1104	22.8301	18.2416	10.728	11.7106	17.0853	10.2289
ENSG00000197363	0.3009	0.2783	0.0474	0.0364	0.224	0.2081	0.3658	0.3618	0.0461	0.018	0.1875	0.1336
ENSG00000147789	1.8138	1.9616	0.3447	0.1539	0.9534	0.6008	2.002	1.9049	0.3282	0.139	1.311	0.4979
ENSG00000170619	1.4565	1.6505	0.7013	0.5314	1.2928	0.9778	2.0795	1.6125	0.6228	0.3717	1.1868	0.6428
ENSG00000196150	1.302	1.272	0.5454	0.4703	0.7111	0.3646	1.3717	1.2179	0.4834	0.2921	0.7141	0.2924
ENSG00000170631	1.5558	1.4587	0.5763	0.214	0.6759	0.1529	1.4546	1.5269	0.5143	0.2065	0.6949	0.197
ENSG00000182307	3.1067	3.0729	1.0589	0.961	1.8828	1.4061	3.1394	3.2246	0.7248	0.5555	1.5376	1.1071
ENSG00000218839	0	0	0	0.0335	0	0	0	0	0.0424	0	0	0
ENSG00000227917	0	0	0.1086	0	0.0358	0.2146	0	0	0.444	0	0.0403	0.2088
ENSG00000231808	0	0	0.0677	0	0	0.1337	0	0	0	0.077	0.1506	0
ENSG00000170122	0.0149	0.0446	0.205	0.124	0.3804	0.114	0.0342	0.0866	0.4715	0.2333	0.2424	0.1183
ENSG00000172785	1.0455	0.9033	0.4988	0.4629	0.7648	0.4529	0.8226	0.8758	0.4409	0.2659	0.7877	0.4873
ENSG00000183784	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000107099	0.0024	0	0	0	0	0	0	0.0023	0.0036	0	0.0023	0.0047
ENSG00000107104	7.0468	6.9452	3.5089	2.8766	3.7172	1.4951	6.4524	6.8515	2.7814	2.1728	3.5884	1.1913
ENSG00000137090	0	0	0	0	0.0085	0.017	0	0	0	0	0.0191	0.0297
ENSG00000064218	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173253	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000080503	5.0084	5.0777	4.792	5.0881	5.7267	4.871	4.9844	5.7251	4.4835	3.8304	6.4803	5.4833
ENSG00000147852	0.1675	0.1665	0.1586	0.1283	0.2458	0.2129	0.2399	0.3438	0.2307	0.1022	0.323	0.2658
ENSG00000168263	0	0	0	0	0	0.0253	0	0	0	0	0	0
ENSG00000080608	12.5694	10.9508	8.0315	6.7812	9.4797	7.4674	10.5664	10.6877	7.6699	5.5452	8.9848	7.1102
ENSG00000236511	0	0	0.0315	0	0	0	0	0	0	0	0	0
ENSG00000080298	0.7382	0.6851	1.3115	1.0259	0.9571	0.7056	0.6834	0.8386	1.2423	0.9912	1.1469	0.888
ENSG00000203286	0.7312	0.7476	0.8957	0.867	0.7977	1.1506	0.7181	0.6054	0.7847	0.4077	0.4984	0.4133
ENSG00000232104	0.1831	0.131	0.0942	0.304	0.0932	0.1551	0.3356	0.3184	0.2201	0.1787	0.1398	0.1449
ENSG00000237359	0.0895	0.0267	0.0384	0	0.1899	0	0.1026	0.1297	0.1345	0	0.1282	0.0886
ENSG00000235326	0	0.0724	0.2602	0.2159	0.103	0.1543	0	0.2931	0.0912	0.2369	0.1158	0.1801
ENSG00000226669	0	0	0.0823	0.9106	0	0	0	0.0464	0.0721	2.1077	0	0
ENSG00000107249	2.2869	2.4117	3.4575	4.2731	2.4547	2.1169	3.9415	3.4837	4.5799	5.6793	3.6462	3.1046
ENSG00000106688	0.2283	0.1945	0.1957	0.1837	0.1591	0.0829	0.2615	0.3543	0.2205	0.1909	0.3734	0.1452
ENSG00000106686	0.0546	0.0326	0.117	0.1213	0.0897	0.1185	0.0391	0.0857	0.2665	0.2097	0.0879	0.189
ENSG00000205808	1.2666	1.189	0.2267	0.222	0.4766	0.3266	1.3629	1.4469	0.2317	0.1935	0.6307	0.2942
ENSG00000273061	0.2658	0.3171	0.547	0.1261	0.406	0.4054	0.2437	0.2568	0.3994	0.6226	0.7103	0.3682
ENSG00000106993	2.3191	2.0576	0.6298	0.9493	1.9397	1.028	2.2127	2.3677	0.8928	0.8456	2.41	0.9552
ENSG00000147853	4.2364	3.752	2.1098	3.0415	4.0868	3.1175	4.3352	4.4509	2.4589	1.6649	3.5887	2.457
ENSG00000120158	0.938	1.1744	0.9838	0.9468	1.2103	0.9722	1.1369	1.0109	0.7338	1.1953	1.1467	0.9433
ENSG00000096968	2.852	2.4282	2.5559	1.8023	2.6522	1.3243	2.7569	2.6304	2.8245	1.74	2.6397	1.1954
ENSG00000120210	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000120211	0	0	0	0	0	0.0141	0	0	0	0.0163	0	0
ENSG00000107014	0	0	0	0	0.0865	0	0	0	0	0	0.0243	0
ENSG00000107018	0	0	0.0761	0.0351	0.0502	0	0	0	0.0444	0.0577	0.0282	0.0293
ENSG00000272866	0.106	0.0316	0	0	0	0.0449	0.1214	0.0512	0.0796	0	0.0506	0
ENSG00000107020	2.6632	2.1873	1.3102	1.0871	1.5928	1.3317	1.7508	2.1719	0.984	0.7668	1.4166	1.0365
ENSG00000120217	4.665	3.6814	1.4285	1.8627	2.6522	1.7612	2.9633	3.1804	1.2397	1.1613	2.7862	1.6402
ENSG00000197646	12.7373	11.0779	9.9275	10.2287	9.3433	5.0707	13.003	12.8244	8.4854	7.6942	9.4284	5.0133
ENSG00000231509	0.043	0	0.6267	0.3569	0.1824	0.0729	0	0	0.8398	0.3776	0.1231	0.1276
ENSG00000107036	7.9401	7.9125	9.0623	13.8639	8.3656	4.9341	9.0495	8.1755	9.7412	13.6562	8.7431	4.9611
ENSG00000099219	0.659	0.5896	0.3724	0.5091	0.4702	0.3892	0.5835	0.7523	0.4201	0.4044	0.4621	0.3951
ENSG00000183354	3.8633	3.3852	4.0349	3.9084	3.6545	2.5143	3.7576	3.6762	4.0138	2.6469	3.5848	2.1303
ENSG00000120215	0	0	0.0725	1.3412	0	0.009	0	0	0.1747	2.8677	0	0
ENSG00000137040	6.4385	5.0126	3.4809	4.3831	3.094	1.4966	5.8917	5.5175	2.3007	2.0085	2.9362	1.1484
ENSG00000228739	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000137033	0.0202	0	0	0	0	0	0.0231	0	0.0152	0.0197	0	0
ENSG00000170777	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000147854	6.3546	5.889	3.902	3.2455	4.363	2.1409	5.7598	5.8495	3.4755	2.0584	4.3961	1.8462
ENSG00000215066	0	0	0	0	0	0	0	0.0114	0.0178	0	0	0.0234
ENSG00000178445	0.014	0.0376	0.012	0	0.0119	0.0237	0.0321	0.027	0.0105	0.0137	0.0267	0.0208
ENSG00000229611	0	0.0461	0	0	0.3276	0.2618	0.177	0	0	0	0.5896	0.382
ENSG00000225489	0	0.0084	0.012	0	0.0357	0.1661	0	0	0.021	0	0.0535	0.0416
ENSG00000107077	1.5377	1.4633	2.0494	1.2879	1.4922	1.2119	1.9463	1.6439	2.5713	1.5806	1.9706	1.4024
ENSG00000273056	0.3348	0.2996	0.1436	0.2647	0.9944	0.1419	0	0	0	0.0545	1.4379	0.3864
ENSG00000137038	1.8034	1.6264	0.7266	0.3865	1.143	0.8192	1.4936	1.5741	0.6366	0.4028	1.2648	0.6985
ENSG00000226376	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000153707	0.6559	0.6859	0.7213	0.6591	0.6913	0.5732	0.5998	0.7046	0.8352	0.6285	0.7466	0.5586
ENSG00000225706	0.1176	0.1013	0.0336	0.062	0.0444	0.0443	0.0599	0.0631	0.0196	0	0.0499	0.0388
ENSG00000226717	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232035	0	0	0	0	0	0	0	0.2005	0	0	0	0
ENSG00000107165	0	0	0	0	0	0.0074	0	0	0	0.0085	0	0.0172
ENSG00000153714	2.5682	2.1517	4.1288	9.897	2.3087	1.5414	3.4679	4.046	5.3745	12.7241	3.6179	2.3893
ENSG00000107186	3.2727	3.3487	3.1879	3.1573	4.0548	3.3266	3.4516	3.8567	3.3534	2.4967	3.9122	3.7837
ENSG00000270547	0	0	0	0	0	0.0107	0	0	0	0	0	0
ENSG00000205636	0	0	0	0	0	0.0714	0	0	0	0	0	0
ENSG00000147862	0.1427	0.111	0.1516	0.1471	0.1789	0.1577	0.0853	0.1138	0.1118	0.115	0.1214	0.1258
ENSG00000273399	0.292	0.1742	0.9515	0.4848	1.0902	0.4949	0.803	0.6206	1.6674	0.456	1.3377	0.7511
ENSG00000272871	0.3852	0.4136	0.8368	0.335	0.9588	0.3264	0.3531	0.3473	1.119	0.2506	0.9313	0.3811
ENSG00000175893	1.8464	1.6312	1.0821	0.8159	1.458	0.8262	1.9094	1.9572	1.0806	0.6107	1.3825	0.8414
ENSG00000147869	0	0	0.046	0.0318	0.0228	0	0	0	0	0.0262	0.0256	0
ENSG00000164946	0.0182	0.0144	0.0363	0.0969	0.0283	0.0205	0.0277	0.0292	0.1274	0.1093	0.0202	0.0419
ENSG00000155158	1.2921	1.156	1.5383	0.5508	1.2232	0.7397	1.3764	1.3178	1.5643	0.5314	1.605	0.7394
ENSG00000164975	4.9735	4.2896	2.3287	2.2665	3.6117	2.0492	4.4023	4.352	2.2565	1.0753	3.127	1.7171
ENSG00000164985	6.2216	5.0923	3.7863	4.2368	5.0378	3.3254	4.8883	4.8423	3.0677	2.0535	4.5633	2.4294
ENSG00000164989	0.3447	0.3001	0.4039	0.3529	0.3615	0.2086	0.3974	0.426	0.5661	0.4554	0.4147	0.2965
ENSG00000205549	0	0	0	0.3405	0	0	0	0.2774	0	1.0508	0.0685	0
ENSG00000173068	3.9914	3.815	6.1391	5.7399	4.391	2.7686	3.8874	3.8768	6.364	5.8036	4.609	3.4216
ENSG00000237153	0.0489	0.0584	0.042	0.058	0	0.0415	0.1121	0	0	0.0955	0.0467	0
ENSG00000044459	2.3669	2.1794	2.9754	2.7097	2.4342	1.7088	2.3474	2.3963	3.1397	1.9423	2.1084	1.533
ENSG00000107295	0.7611	0.9079	0.8766	1.3605	0.7614	0.5294	0.7809	1.0863	1.263	1.2748	1.0516	0.5169
ENSG00000227167	0	0	0	0	0	0	0	0	0	0.1342	0	0
ENSG00000178031	1.873	2.1856	2.7792	2.0801	2.0427	1.2956	1.5365	1.4173	1.8328	1.538	1.3837	0.9741
ENSG00000155875	0	0.0175	0.063	0.1742	0.0249	0.1369	0	0	0.1545	0.559	0.028	0.1453
ENSG00000155876	10.4419	10.5685	4.7988	5.7921	6.1245	3.4686	10.7854	10.3156	3.5359	4.2648	6.3601	2.954
ENSG00000147874	4.795	3.6613	1.7932	2.1876	3.929	2.9209	3.3518	3.3339	1.6113	1.1788	3.0232	2.0973
ENSG00000147872	4.7921	4.6249	2.3809	2.4959	4.5273	3.0466	4.3543	5.0368	1.7111	1.8979	5.0371	3.0063
ENSG00000137145	3.7647	3.2567	2.8839	2.5278	3.5021	2.4449	3.7177	3.7039	3.0353	1.5798	3.6127	2.0778
ENSG00000137154	34.6087	31.8293	23.9087	27.0119	31.2289	23.0464	30.9295	30.9133	17.1226	16.874	26.5525	19.0897
ENSG00000177076	0.9629	0.8854	0.5504	0.5074	1.3276	1.0878	0.6742	0.8784	0.4822	0.6525	1.6591	1.6007
ENSG00000155886	0	0	0	0	0.0026	0	0	0	0	0	0.0029	0
ENSG00000261402	0	0.0101	0.0073	0	0.0144	0.0144	0	0.0164	0	0	0.0162	0
ENSG00000171843	1.319	1.1741	2.2826	1.7875	1.4117	1.2875	1.3505	1.4445	2.8312	2.14	1.6261	1.6737
ENSG00000188352	2.6307	2.3613	2.9574	2.4223	2.5545	1.7062	2.5973	2.6948	3.3328	2.2755	2.6438	1.5807
ENSG00000227071	0.077	0.046	0	0	0	0.1959	0	0	0	0	0.0735	0.3049
ENSG00000188921	1.0377	0.8597	0.658	0.5934	1.1154	1.1987	0.9633	0.9959	0.5615	0.5307	1.194	1.3499
ENSG00000171855	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177047	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000137080	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236637	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214042	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186803	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000147885	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234829	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228083	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000147873	0.0931	0	0.5988	0.4969	0.079	0.2367	0.1067	0	0.4197	0.7724	0.0444	0.2763
ENSG00000198642	8.887	7.4111	2.9805	2.6666	4.3682	1.9974	8.4622	8.4686	2.4355	2.4284	4.9731	1.9762
ENSG00000120235	0	0	0	0.025	0	0	0	0	0	0.0824	0	0
ENSG00000233816	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188379	0	0	0.0733	0	0	0	0	0	0.0857	0.0835	0	0
ENSG00000261696	0	0	0.0383	0.106	0	0.0189	0	0	0.1007	0.109	0	0
ENSG00000120242	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197919	0	0	0	0	0	0	0	0	0	0.0363	0	0
ENSG00000184995	1.107	1.4526	1.7276	3.1242	1.9349	1.2945	1.0147	1.2832	1.2974	1.9877	1.3311	0.9856
ENSG00000099810	4.0602	3.8877	2.6215	2.0253	3.4034	1.8514	3.9326	3.6857	2.4561	1.1019	3.2483	1.484
ENSG00000224854	0	0	0.7427	0.1926	0.0459	0.1835	0	0	0.4067	0.2641	0	0.1071
ENSG00000147889	0.5852	0.5787	0.343	0.2371	0.861	0.8096	0.611	0.6583	0.2671	0.1879	0.7422	0.806
ENSG00000147883	0.6666	0.8095	0.544	0.5428	1.4719	2.6472	1.0858	1.0318	0.4103	0.674	1.5175	1.8273
ENSG00000236921	0	0	0	0.0872	0	0	0	0	0	0	0	0
ENSG00000176399	0.0176	0.0035	0.005	0.0069	0.0248	0.0198	0	0.0226	0	0.0286	0.0168	0.1216
ENSG00000234840	0	0.0151	0.0218	0.015	0	0	0	0.0123	0	0.0248	0.0363	0
ENSG00000224549	0	0.1305	0	0	0	0	0	0	0	0	0.0696	0.0721
ENSG00000233906	0	0	0.1179	0.1631	0	0	0	0	0	0	0	0
ENSG00000107105	0.0507	0.0113	0.0163	0.0075	0.0269	0.0537	0	0.0184	0.0286	0.0124	0.0121	0.0376
ENSG00000231460	0	0	0	0	0	0	0	0	0	0	0	0.0225
ENSG00000237414	0	0	0	0	0	0	0	0	0.0713	0	0	0
ENSG00000269957	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198680	0.543	0.4897	0.1817	0.1413	0.3371	0.2132	0.7283	0.4861	0.1194	0.1421	0.278	0.1965
ENSG00000254261	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253400	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000120159	1.5355	1.277	0.7603	0.7052	1.0643	0.9162	1.561	1.5459	0.6661	0.401	1.1558	0.8878
ENSG00000137055	4.9714	4.8022	2.502	2.9074	3.9602	2.6156	4.8447	4.9196	2.4053	1.839	3.6485	2.5792
ENSG00000096872	2.4389	1.9879	2.0019	1.5026	2.224	1.3458	2.4065	2.3643	1.7735	1.245	2.3606	1.3823
ENSG00000184434	0	0	0	0	0.0077	0.0153	0	0	0	0	0	0
ENSG00000254396	0	0.0345	1.0405	0.3426	0.3922	0.5876	0.1324	0.1116	1.2155	0.3947	0.4963	0.686
ENSG00000120156	0.9706	0.7583	0.8616	0.9807	0.9743	0.7356	0.7675	0.6405	1.2119	0.7671	0.6654	0.7032
ENSG00000231459	0.0112	0	0.0096	0	0.019	0.0284	0.0256	0	0.0168	0.0218	0.0107	0.0664
ENSG00000120160	0	0	0.02	0	0	0	0	0	0	0.0456	0	0
ENSG00000120162	0.0138	0.0165	0.0039	0	0.0078	0.0117	0.0105	0.0133	0.0207	0.0359	0.0132	0.0136
ENSG00000147896	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000147894	0.7259	0.6543	0.1752	0.0956	0.3513	0.2779	0.6161	0.7687	0.2101	0.084	0.3643	0.3351
ENSG00000174482	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000122729	4.5941	4.381	3.8687	3.1598	5.0394	3.9513	4.6887	4.8347	3.2433	2.1148	5.0653	4.1509
ENSG00000107201	1.9648	1.8341	1.7649	2.4334	1.6777	1.2632	2.1726	1.9522	2.1368	2.386	1.8036	1.2587
ENSG00000197579	7.5712	6.323	5.3735	5.8374	5.7626	3.3963	7.1256	7.4978	4.8275	4.7495	5.9958	3.438
ENSG00000165264	5.5591	5.3221	3.6414	3.5081	5.4253	4.3262	6.1779	5.7617	2.6527	2.4213	4.5537	2.9974
ENSG00000241043	0.0533	0.0742	0.0457	0.1687	0.2112	0.1507	0.163	0.0515	0.0267	0.1388	0.1188	0.0879
ENSG00000230516	0	0	0	0	0	0	0	0	0	0.0379	0.0371	0
ENSG00000188133	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231193	0	0	0.1522	0.5611	0	0	0	0	0.2666	1.0389	0	0
ENSG00000137074	3.389	3.3347	1.7111	1.3667	3.3134	4.7738	2.858	3.0576	1.5121	1.0324	3.423	5.2755
ENSG00000086061	25.3687	22.009	32.1725	32.884	122.8971	101.6292	20.052	22.0372	28.5557	32.6066	165.7298	144.8077
ENSG00000122692	4.4522	4.2421	2.9434	3.3334	4.3399	3.2882	3.2889	3.6559	2.5823	1.7976	3.5028	2.817
ENSG00000086062	10.1409	10.9454	6.2345	6.2336	9.9036	6.1554	12.0465	11.7598	4.9306	4.8285	11.1636	5.9706
ENSG00000122711	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000107262	1.4397	1.4521	2.064	1.7507	1.4355	1.6978	1.3449	1.466	1.5432	1.7807	1.1202	1.0115
ENSG00000086065	6.4979	6.2478	4.035	4.2843	5.6492	4.012	6.2096	6.544	3.4805	2.8576	6.5624	2.868
ENSG00000086102	5.2715	5.4913	3.0772	1.6925	3.695	2.5656	5.6531	5.6338	3.0969	1.5485	4.565	2.2149
ENSG00000165269	0.0156	0	0.0267	0.0554	0	0.0396	0	0	0.0703	0.0456	0.0149	0
ENSG00000165272	0.0445	0.0465	0.315	0.3564	0.34	0.8111	0.102	0.1075	0.3345	0.8038	0.3505	0.5946
