"GFP-1" "GFP-2" "GFP-3" "HS-GFP-1" "HS-GFP-2" "HS-GFP-3" "WT-1" "WT-2" "WT-3" "HS-WT-1" "HS-WT-2" "HS-WT-3"
"ENSG00000231251" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000142675" 99 153 197 104 84 137 135 151 193 245 241 185
"ENSG00000197245" 6 5 6 6 2 5 2 1 6 0 1 0
"ENSG00000231949" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000261025" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000116237" 3170 3752 4630 4364 3461 5992 4164 4244 4716 3338 2954 2455
"ENSG00000158195" 1192 1394 1696 1897 1342 2315 1641 1584 1789 1556 1269 1059
"ENSG00000130772" 225 280 308 235 198 311 263 278 302 154 98 82
"ENSG00000215899" 0 0 0 0 0 0 0 0 0 0 1 0
"ENSG00000237429" 0 0 0 0 0 0 0 0 1 0 0 0
"ENSG00000271398" 0 0 0 2 1 4 1 0 0 1 0 1
"ENSG00000225011" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000240731" 34 42 52 106 86 115 52 52 53 87 57 57
"ENSG00000235069" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000284676" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000237058" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000233399" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000090020" 169 256 310 374 266 434 275 281 335 363 313 249
"ENSG00000225990" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000157978" 471 610 777 509 359 665 664 625 761 243 211 209
"ENSG00000226944" 3 2 3 5 3 4 4 4 3 4 5 3
"ENSG00000270282" 0 0 0 0 0 0 0 0 0 1 0 0
"ENSG00000130770" 1544 1865 2410 2889 2081 3320 1625 1859 1868 2413 1966 1770
"ENSG00000235131" 1 0 1 0 1 2 1 2 2 1 2 1
"ENSG00000229044" 0 0 0 0 1 0 0 1 0 0 1 0
"ENSG00000162512" 720 919 1182 1290 946 1555 1144 1211 1391 914 762 613
"ENSG00000179840" 0 0 1 1 0 0 0 1 0 0 0 0
"ENSG00000272449" 8 17 12 8 3 7 5 21 20 12 12 15
"ENSG00000214973" 0 0 0 0 0 0 0 0 0 0 1 0
"ENSG00000158006" 266 324 395 221 174 345 357 361 410 283 236 193
"ENSG00000214812" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000142784" 368 554 675 406 257 501 658 682 759 550 462 344
"ENSG00000227950" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000126698" 1782 1966 2387 2280 1532 2555 1764 1713 1943 2168 1868 1486
"ENSG00000229447" 5 0 6 7 5 6 4 4 4 2 4 4
"ENSG00000229607" 0 0 0 0 0 0 0 0 0 2 0 2
"ENSG00000229994" 9 6 7 36 34 49 3 8 8 14 13 12
"ENSG00000130766" 366 482 603 1098 900 1476 499 475 609 595 521 391
"ENSG00000168528" 346 484 593 578 391 623 621 534 703 717 555 497
"ENSG00000196581" 6 8 9 2 0 1 2 3 2 1 3 1
"ENSG00000169403" 6 10 3 5 7 13 4 11 5 5 9 2
"ENSG00000117676" 1036 1439 1713 650 514 856 1307 1325 1549 624 499 434
"ENSG00000225126" 0 0 0 1 2 1 0 0 0 0 1 0
